iter	Passed	Remaining
0	284	283906
1	369	184604
2	457	152163
3	540	134649
4	597	118903
5	696	115382
6	766	108666
7	828	102698	8	883	97279	9	961	95141010	1057	95011	11	1131	93112	12	1203	91313	13	1302	91714	14	1360	89315	15	1430	87916	16	1505	87017	17	1581	86218	18	1651	85219	19	1755	86020	20	1824	85021	21	1911	84922	22	1987	84423	23	2050	83424	24	2112	82325	25	2190	82026	26	2272	81827	27	2345	81428	28	2410	80729	29	2480	80230	30	2553	79831	31	2633	79632	32	2711	79433	33	2797	79434	34	2888	79635	35	2969	79536	36	3067	79837	37	3128	79138	38	3217	79239	39	3280	78740	40	3365	78714
41	3428	78142	42	3493	77743	43	3579	77744	44	3652	77545	45	3733	77446	46	3794	76947	47	3895	77248	48	3970	77049	49	4048	76950	50	4126	76751	551	4330	7852	552	4405	7853	53	4352	76254	54	4427	76055	55	4501	75856	56	4566	75557	57	4648	75458	58	4725	75359	4825	75602
60	4902	75466
61	4991	75522
62	5074	75466
63	5154	75386
64	5263	75712
65	5361	75877
66	5423	75523
67	5549	76054
68	5636	76056
69	5706	75815
70	5770	75498
71	5863	75576
72	5930	75306
73	6008	75189
74	6088	75087
75	6148	74757
76	6227	74653
77	6293	74391
78	6372	74291
79	6458	74273
80	6549	74303
81	6633	74258
82	6702	74051
83	6784	73983
84	6872	73984
85	6946	73822
86	7032	73805
87	7111	73704
88	7180	73495
89	7240	73211
90	7305	72970
91	7395	72987
92	7470	72854
93	7529	72567
94	7603	72428
95	95	7694	72496	96	7759	72297	97	7842	72198	98	7927	72199	99	7997	719100100	8079	719101101	8154	717102102	8212	715103103	8293	714104104	8381	714105105	8467	71418
106	8549	71355
107	8630	71283
108	8707	71178
109	8784	71073
110	8878	711111111	8971	71133
112	9037	709113113	9125	709114114	9215	709115115	9277	706116116	9353	705117117	9409	703118118	9483	702119119	9553	700120120	9642	700121121	9712	698122122	9788	697123123	9862	696124124	9944	6961125	10132	70286
126	10224	70284
127	10309	70234
12128	10268	6933129	10469	70064
13130	10427	6917131	10650	70037
132	10732	69964
133	10796	69773
134	10876	69688
135	10960	69631
136	11030	69485
137	11106	69377
138	11205	69412
139	11290	69353
140	11367	69251
141	11430	69068
142	11523	69061
143	11602	68972
14144	11547	6809145	11776	68887
146	11857	68806
147	11921	68629
148	12004	68561
149	12094	68534
150	12187	68524
151	12270	68457
152	12348	68361
153	12441	68346
154	12529	68306
155	12627	68316
156	12691	68143
157	12782	68121
158	12840	67915
159	12933	67899
160	13016	67832
161	13096	67746
162	13169	67625
163	13234	67465
164	13315	67382
165	13406	67356
166	13510	67392
167	13607	67388
168	13682	67276
169	13748	67123
170	13840	67098
171	13925	67038
172	14020	67022
173	14120	67031
174	14207	66980
175	14286	66885
176	14359	66767
177	14435	66663
178	14519	66596
179	14594	66485
180	14674	66399
181	14736	66235
182	14821	66170
183	14875	65971
184	14949	65858
185	15012	65699
186	15090	65609
187	15155	65461
188	15213	65282
189	15296	65211
190	15378	65135
191	15449	65016
192	15525	64915
193	15614	64871
194	15695	64792
195	15777	64721
196	15841	64571
197	15904	64422
198	15992	64371
199	16074	64298
200	16143	64172
201	16222	64087
202	16332	64122
203	16414	64049
204	16491	63956
205	16561	63835
206	16643	63758
207	16724	63680
208	16791	63548
209	16887	63528
210	16975	63476
211	17055	63393
212	17151	63373
213	17218	63243
214	17294	63145
215	17382	63091
216	17458	62993
217	17567	63017
218	17647	62934
219	17738	62889
220	17813	62792
221	17886	62682
222	17995	62700
223	18075	62617
224	18153	62529
225	18256	62525
226	18334	62434
227	18413	62348
228	18492	62261
229	18581	62208
230	18656	62108
231	18731	62008
232	18799	61885
233	18880	61806
234	18950	61689
235	19018	61566
236	19083	61436
237	19135	61264
238	19210	61166
239	19290	61087
240	19374	61016
241	19451	60925
24242	19117	595524243	19204	595024244	19289	594424245	19360	593324246	19431	592324247	19497	591224248	19584	590624249	19657	589725250	19752	589425251	19859	589425252	19927	588325253	19988	587025254	20062	586125255	20141	585325256	20223	584625257	20312	584125258	20401	583625259	20476	582726260	20543	581626261	20634	58122
262	20714	58047
263	20814	58026
264	20893	57950
265	20962	57843
266	21038	57756
267	21132	57720
268	21225	57679
269	21304	57602
270	21368	57483
271	21435	57370
272	21509	57281
273	21601	57235
274	21707	57228
275	21767	57099
276	21830	56979
277	21880	56825
278	21946	56713
279	22025	56637
280	22114	56583
281	22189	56496
282	22282	56455
283	22363	56380
284	22455	56334
285	22531	56250
286	22612	56175
287	22689	56092
288	22750	55970
289	22840	55918
290	22916	55834
291	22989	55740
292	23046	55610
293	23114	55507
294	23207	55461
295	23288	55388
296	23359	552929297	23447	552329298	23522	5514299	23994	55987
300	24079	55918
301	24150	55818
302	24221	55716
303	24286	55602
304	24391	55580
30305	24102	546630306	24211	5465307	24671	55431
308	24776	55407
30309	24464	544531310	24542	543731311	24627	543031312	24738	542931313	24826	54238
314	24893	541331315	24984	540831316	25045	539631317	25151	53941
318	25227	53855
319	25311	53787
320	25378	536832321	25452	535932322	25525	534932323	25616	534432324	25696	533632325	25770	532832326	25848	531932327	25934	531332328	26039	53108
329	26131	53055
330	26207	52969
331	26296	52908
332	26365	528033333	26455	527533334	26518	526433335	26577	525233336	26672	524733337	26719	523333338	26779	522133339	26869	521534340	26973	521234341	27050	520434342	27125	519534343	27197	518634344	27268	517734345	27358	517134346	27435	516234347	27500	515234348	27588	514634349	27682	514135350	27754	513135351	27824	512235352	27892	511235353	27947	509935354	28019	509035355	28085	508035356	28167	507335357	28244	506535358	28314	505535359	28404	504936360	28488	504236361	28602	504036362	28660	502936363	28726	501936364	28791	500836365	28885	500336366	28951	499336367	29030	498536368	29115	497836369	29203	497237370	29298	496737371	29360	495637372	29428	494637373	29509	493937374	29573	492837375	29633	491737376	29730	491337377	29810	490537378	29881	489637379	29962	4888380	30497	49548
381	30594	49495
382	30679	49423
383	30766	49353
384	30857	49292
385	30924	49190
386	30995	49095
387	31077	49019
388	31153	48933
389	31204	48807
390	31289	48734
391	31368	48652
392	31433	48550
393	31516	48474
394	31591	48386
395	31661	48291
396	31725	48188
397	31811	48116
398	31893	48039
399	31987	47980
400	32070	47905
401	32140	47810
402	32215	47723
403	32287	47632
404	32369	47555
405	32461	47492
406	32531	47397
407	32620	47332
408	32710	47266
409	32782	47175
410	32857	47088
411	32938	47009
412	33024	46938
413	33098	46849
414	33171	46759
415	33239	46662
416	33310	46571
417	33411	46520
418	33498	46449
419	33576	46367
420	33654	46285
421	33737	46209
422	33810	46119
423	33875	46019
424	33948	45930
425	34012	45828
426	34086	45741
427	34166	45662
428	34262	45603
429	34347	45530
430	34449	45479
431	34523	45391
432	34595	45301
433	34670	45215
434	34743	45126
435	34822	45045
436	34893	44953
437	35007	44918
438	35060	44804
439	35137	44720
440	35199	44617
441	35260	44514
442	35325	44416
443	35392	44320
444	35457	44222
445	35558	44168
44446	35111	4343447	35733	44029
448	35807	43942
449	35893	43869
450	35970	43787
451	36060	43719
452	36145	43645
453	36221	43561
454	36296	43476
455	36382	43403
456	36499	43367
457	36578	43286
458	36647	43194
459	36710	43094
460	36770	42991
46461	36237	421946462	36327	4213463	37026	42772
464	37088	42671
465	37169	42593
466	37249	42514
467	37303	42404
468	37391	42334
469	37457	42239
470	37530	42152
471	37585	42045
472	37670	41971
473	37761	41904
474	37846	41830
475	37923	41747
476	37980	41643
477	38064	41567
478	38138	41482
479	38213	41397
480	38299	41325
481	38396	41264
482	38452	41159
483	38511	41058
484	38584	40970
485	38647	40873
486	38730	40797
487	38823	40733
488	38917	40667
489	38988	40580
490	39070	40502
491	39137	40409
492	39212	40325
493	39276	40230
494	39364	40160
495	39422	40058
496	39518	39995
497	39587	39905
498	39669	39828
499	39723	39723
500	39811	39652
501	39872	39554
502	39947	39470
503	40015	39380
504	40117	39322
505	40181	39228
506	40246	39135
507	40315	39045
508	40387	38959
509	40459	38872
510	40537	38792
511	40622	38718
512	40694	38631
513	40767	38547
514	40846	38467
515	40906	38369
516	40981	38286
517	41038	38186
518	41124	38113
519	41192	38023
520	41280	37952
521	41367	37880
522	41445	37799
523	41533	37728
524	41618	37654
525	41709	37586
526	41786	37505
527	41846	37407
528	41950	37350
529	42040	37280
530	42110	37193
531	42201	37124
532	42279	37044
533	42375	36979
534	42443	36889
535	42497	36788
536	42582	36714
537	42654	36628
538	42730	36547
539	42816	36473
540	42893	36392
541	42967	36308
542	43045	36227
543	43114	36139
544	43186	36054
545	43248	35961
546	43321	35877
547	43402	35799
548	43491	35727
549	43568	35646
550	43648	35568
551	43716	35479
552	43820	35421
553	43891	35335
554	43981	35264
555	44073	35195
556	44152	35116
557	44236	35040
558	44298	34947
559	44365	34858
560	44442	34777
561	44539	34712
562	44622	34636
563	44697	34553
564	44782	34478
565	44859	34397
566	44923	34306
567	44983	34212
568	45060	34132
569	45120	34038
570	45201	33960
571	45288	33887
572	45374	33813
573	45451	33731
574	45517	33643
575	45588	33558
576	45658	33472
577	45734	33391
578	45803	33304
579	45887	33228
580	45989	33166
581	46061	33081
582	46130	32995
583	46205	32913
584	46297	32843
585	46384	32770
586	46454	32684
587	46521	32596
588	46591	32511
589	46661	32425
590	46724	32335
591	46803	32256
592	46886	32179
593	46971	32105
594	47047	32023
595	47149	31960
596	47245	31893
597	47333	31819
598	47419	31744
599	47504	31669
600	47572	31583
601	47660	31509
602	47734	31427
603	47816	31349
604	47897	31271
605	47957	31180
606	48052	31111
607	48126	31029
608	48201	30947
609	48291	30875
610	48351	30783
611	48418	30696
612	48486	30610
613	48561	30528
614	48643	30451
615	48710	30364
616	48797	30290
617	48863	30203
618	48940	30123
619	49031	30051
620	49116	29976
621	49183	29889
622	49263	29811
623	49355	29739
624	49436	29661
625	49541	29598
626	49621	29519
627	49706	29444
628	49773	29357
629	49879	29294
630	49952	29211
631	50013	29121
632	50077	29034
633	50146	28949
634	50225	28869
635	50296	28785
636	50378	28708
637	50449	28625
638	50530	28546
639	50614	28470
640	50692	28390
641	50759	28305
642	50849	28232
643	50917	28146
644	50988	28063
645	51061	27980
646	51143	27903
647	51229	27828
648	51307	27748
649	51395	27674
650	51478	27597
651	51544	27511
652	51610	27425
653	51681	27342
654	51754	27260
655	51818	27173
656	51893	27091
657	51990	27022
658	52066	26942
659	52138	26859
660	52217	26780
661	52297	26701
662	52392	26630
663	52485	26558
664	52576	26485
665	52662	26410
666	52746	26333
667	52811	26247
668	52896	26171
669	52982	26095
670	53068	26020
671	53153	25943
672	53230	25864
673	53323	25791
674	53407	25714
675	53486	25635
676	53568	25557
677	53651	25480
678	53728	25400
679	53823	25328
680	53936	25265
681	53998	25178
682	54070	25095
683	54149	25016
684	54215	24931
685	54309	24858
686	54382	24776
687	54462	24697
688	54531	24614
689	54594	24528
690	54695	24458
691	54790	24386
692	54882	24312
693	54955	24231
694	55017	24144
695	55095	24064
696	55165	23981
697	55260	23909
698	55351	23835
699	55412	23748
700	55488	23667
701	55567	23588
702	55678	23522
703	55738	23435
704	55827	23360
705	55907	23281
706	55997	23206
707	56061	23121
708	56150	23046
709	56228	22966
710	56328	22895
711	56397	22812
712	56479	22734
713	56549	22651
714	56638	22576
715	56705	22492
716	56788	22414
717	56877	22339
718	56965	22263
719	57063	22191
720	57139	22110
721	57225	22034
722	57299	21953
723	57367	21869
724	57436	21786
725	57534	21713
726	57596	21628
727	57682	21551
728	57759	21471
729	57836	21391
730	57916	21312
731	57994	21232
732	58073	21153
733	58139	21069
734	58207	20986
735	58273	20902
736	58344	20820
737	58434	20745
738	58515	20666
739	58573	20579
740	58648	20499
741	58713	20415
742	58794	20336
743	58867	20255
744	58935	20172
745	58997	20087
746	59063	20003
747	59140	19924
748	59238	19851
749	59307	19769
750	59383	19689
751	59468	19611
752	59523	19525
753	59614	19449
754	59680	19366
755	59772	19291
756	59846	19210
757	59926	19132
758	60032	19061
759	60128	18987
760	60205	18908
761	60289	18830
762	60359	18748
763	60442	18670
764	60527	18593
765	60612	18516
766	60682	18434
767	60750	18351
768	60830	18273
769	60897	18190
770	60985	18113
771	61070	18036
772	61152	17958
773	61242	17882
774	61329	17805
775	61400	17723
776	61473	17642
777	61561	17566
778	61637	17486
779	61713	17406
780	61789	17326
781	61850	17242
782	61918	17159
783	61978	17075
784	62059	16997
785	62150	16921
786	62226	16841
787	62316	16765
788	62392	16685
789	62468	16605
790	62540	16524
791	62623	16446
792	62738	16376
793	62802	16293
794	62884	16215
795	62961	16135
796	63037	16055
797	63119	15977
798	63180	15893
799	63246	15811
800	63315	15730
801	63383	15648
802	63461	15569
803	63547	15491
804	63639	15415
805	63712	15335
806	63793	15256
807	63871	15177
808	63946	15097
809	64033	15020
810	64119	14942
811	64184	14860
812	64256	14779
813	64348	14703
814	64421	14623
815	64516	14547
816	64591	14467
817	64676	14390
818	64757	14311
819	64846	14234
820	64918	14153
821	64986	14072
822	65074	13995
823	65166	13919
824	65230	13836
825	65309	13757
826	65385	13678
827	65453	13596
828	65508	13512
829	65593	13434
830	65670	13355
831	65750	13276
832	65830	13197
833	65912	13119
834	65987	13039
835	66051	12957
836	66137	12879
837	66218	12801
838	66283	12719
839	66350	12638
840	66423	12558
841	66481	12475
842	66555	12395
843	66635	12316
844	66718	12238
845	66806	12161
846	66893	12083
847	66972	12004
848	67063	11927
849	67136	11847
850	67218	11769
851	67302	11691
852	67394	11614
853	67480	11536
854	67550	11456
855	67627	11376
856	67724	11300
857	67808	11222
858	67892	11144
859	67978	11066
860	68065	10988
861	68156	10911
862	68242	10833
863	68315	10753
864	68402	10675
865	68488	10597
866	68549	10515
867	68632	10437
868	68707	10357
869	68783	10277
870	68841	10195
871	68919	10116
872	69000	10037
873	69081	9959
874	69145	9877
875	69238	9800
876	69302	9719
877	69366	9638
878	69459	9561
879	69529	9481
880	69607	9402
881	69686	9323
882	69759	9243
883	69834	9163
884	69912	9084
885	69991	9005
886	70083	8928
887	70149	8847
888	70217	8767
889	70294	8688
890	70371	8608
891	70468	8532
892	70567	8455
893	70645	8376
894	70727	8297
895	70817	8219
896	70883	8139
897	70962	8060
898	71037	7980
899	71116	7901
900	71208	7824
901	71274	7743
902	71345	7663
903	71455	7588
904	71510	7506
905	71599	7428
906	71688	7350
907	71743	7269
908	71805	7188
909	71885	7109
910	71951	7029
911	72040	6951
912	72111	6871
913	72194	6792
914	72281	6714
915	72357	6635
916	72455	6558
917	72518	6477
918	72591	6398
919	72653	6317
920	72737	6239
921	72806	6159
922	72883	6080
923	72979	6002
924	73051	5923
925	73120	5843
926	73221	5766
927	73306	5687
928	73365	5607
929	73427	5526
930	73506	5447
931	73571	5367
932	73688	5291
933	73761	5212
934	73828	5132
935	73893	5052
936	73985	4974
937	74065	4895
938	74154	4817
939	74232	4738
940	74293	4658
941	74364	4578
942	74445	4499
943	74520	4420
944	74602	4341
945	74694	4263
946	74799	4186
947	74874	4107
948	74933	4026
949	75012	3948
950	75092	3869
951	75181	3790
952	75248	3711
953	75327	3632
954	75406	3553
955	75503	3475
956	75579	3395
957	75649	3316
958	75724	3237
959	75785	3157
960	75861	3078
961	75958	3000
962	76049	2921
963	76136	2843
964	76209	2764
965	76272	2684
966	76353	2605
967	76443	2527
968	76504	2447
969	76576	2368
970	76654	2289
971	76737	2210
972	76814	2131
973	76881	2052
974	76974	1973
975	77058	1894
976	77140	1816
977	77247	1737
978	77328	1658
979	77401	1579
980	77477	1500
981	77546	1421
982	77606	1342
983	77675	1263
984	77736	1183
985	77803	1104
986	77867	1025
987	77925	946
988	77988	867
989	78055	788
990	78137	709
991	78212	630
992	78288	551
993	78340	472
994	78401	393
995	78465	315
996	78524	236
997	78576	157
998	78623	78
999	78659	0
8	0
